1,0.317
2,0.429
3,0.641
4,0.203
5,0.566
6,1.429
7,0.242
8,0.46
9,0.352
10,0.436
11,0.758
12,0.63
13,0.128
14,0.343
15,1.192
16,0.707
17,0.51
18,1.072
19,1.221
20,0.301
21,0.761
22,0.128
23,1.105
24,0.613
25,0.935
26,0.781
27,0.876
28,1.227
29,0.184
30,0.011
31,0.736
32,0.214
33,0.322
34,1.596
35,0.473
36,0.074
37,1.066
38,1.292
39,0.288
40,1.114
41,0.715
42,1.462
43,1.071
44,0.574
45,0.829
46,0.262
47,0.208
48,0.201
49,0.379
50,0.46
51,1.344
52,0.021
53,1.062
54,1.115
55,0.896
56,0.181
57,1.062
58,0.278
59,0.271
60,1.278
61,0.394
62,0.868
63,0.802
64,0.442
65,1.491
66,1.102
67,0.48
68,0.545
69,0.225
70,0.744
71,0.157
72,0.023
73,0.188
74,0.93
75,0.002
76,0.573
77,1.067
78,0.565
79,0.448
80,0.534
81,0.348
82,0.247
83,1.313
84,0.384
85,0.13
86,0.746
87,0.736
88,0.747
89,0.189
90,0.496
91,0.195
92,0.608
93,1.115
94,0.001
95,0.021
96,0.531
97,0.278
98,0.258
99,0.437
100,0.277
101,0.276
102,0.414
103,0.435
104,0.06
105,0.587
106,0.277
107,0.698
108,0.702
109,0.214
110,0.114
111,0.47
112,0.812
113,0.722
114,1.071
115,0.103
116,0.38
117,0.207
118,0.508
119,0.358
120,0.113
121,0.773
122,0.246
123,0.292
124,0.226
125,0.229
126,0.669
127,0.49
128,0.357
129,0.224
130,0.169
131,0.324
132,0.403
133,0.104
134,0.342
135,0.203
136,0.706
137,0.281
138,0.208
139,1.118
140,0.208
141,0.258
142,0.59
143,0.214
144,0.379
145,0.638
146,0.844
147,0.391
148,0.246
149,0.773
150,0.432
151,0.051
152,0.432
153,0.526
154,0.369
155,0.741
156,1.139
157,0.708
158,0.431
159,0.039
160,0.365
161,0.133
162,0.486
163,0.714
164,0.184
165,0.351
166,0.191
167,0.427
168,0.181
169,0.445
170,0.191
171,0.509
172,0.513
173,1.151
174,0.512
175,0.372
176,0.371
177,0.22
178,0.767
179,0.569
180,0.278
181,0.331
182,0.642
183,0.157
184,0.608
185,0.192
186,0.476
187,1.073
188,0.526
189,0.518
190,0.373
191,0.266
192,0.309
193,0.528
194,0.486
195,0.479
196,0.365
197,0.426
198,0.537
199,0.255
200,0.183
201,0.52
202,0.075
203,0.27
204,0.44
205,0.202
206,0.278
207,0.367
208,1.268
209,0.78
210,0.699
211,0.508
212,0.21
213,0.534
214,0.697
215,0.564
216,1.07
217,0.39
218,0.569
219,0.371
220,0.258
221,0.482
222,0.161
223,0.382
224,0.331
225,0.414
226,0.436
227,0.215
228,0.289
229,0.54
230,0.372
231,0.472
232,0.268
233,0.611
234,0.479
235,0.252
236,0.726
237,0.401
238,0.468
239,0.323
240,0.343
241,0.322
242,0.342
243,0.233
244,0.488
245,0.35
246,0.754
247,0.231
248,0.843
249,0.375
250,0.478
251,1.082
252,0.322
253,0.377
254,0.326
255,0.061
256,0.154
257,0.313
258,1.067
259,0.713
260,0.377
261,0.219
262,0.154
263,0.326
264,0.503
265,0.634
266,0.342
267,0.163
268,0.359
269,0.14
270,0.723
271,0.253
272,0.565
273,0.37
274,0.098
275,0.192
276,0.464
277,0.326
278,0.318
279,0.472
280,0.206
281,0.188
282,0.184
283,0.461
284,0.484
285,0.203
286,0.086
287,0.439
288,0.382
289,0.209
290,0.631
291,0.556
292,0.804
293,0.443
294,0.216
295,0.471
296,0.518
297,0.293
298,0.56
299,0.495
300,0.361
301,0.543
302,0.406
303,0.685
304,0.411
305,0.357
306,0.538
307,0.364
308,0.737
309,0.26
310,0.331
311,0.236
312,0.413
313,0.478
314,0.354
315,0.26
316,0.411
317,0.344
318,0.169
319,0.571
320,0.289
321,0.257
322,0.324
323,0.317
324,0.564
325,0.122
326,0.448
327,0.499
328,0.693
329,0.098
330,0.671
331,0.499
332,0.435
333,0.617
334,0.644
335,0.219
336,0.551
337,0.258
338,0.289
339,0.11
340,0.439
341,0.15
342,0.388
343,0.368
344,0.572
345,0.065
346,0.272
347,0.342
348,0.305
349,0.188
350,0.323
351,0.194
352,0.414
353,0.169
354,0.364
355,0.549
356,0.576
357,0.316
358,0.294
359,0.464
360,0.472
361,0.392
362,0.34
363,0.236
364,0.413
365,0.332
366,0.171
367,0.556
368,0.469
369,0.38
370,0.327
371,0.528
372,0.031
373,0.374
374,0.538
375,0.303
376,0.227
377,0.364
378,0.242
379,0.344
380,0.439
381,0.391
382,0.217
383,0.355
384,0.496
385,0.348
386,0.5
387,0.314
388,0.344
389,0.292
390,0.342
391,0.18
392,0.162
393,0.154
394,0.218
395,0.403
396,1.305
397,0.292
398,0.162
399,0.278
400,0.186
